A_0,A_1,A_2,A_3,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
1.0,#,0.0,0.0,#,#,#,#,1.0,#,#,#,0.0,#,#,#,#,#,#,#,0.0,0.023589950252244307,0.6875,1,43.687449198592,9873,9498,0.25,0.0003410804757292788,11,16,False
0.0,1.0,1.0,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,#,#,#,0.0,5.9048999999999975e-06,0.3,1,43.832,9888,9500,0.3,0.0003422090253932147,3,10,False
#,0.0,1.0,1.0,#,#,#,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,1.0,0.056313514709472656,0.75,1,33.599836585984,9974,9501,0.25,0.0002623235839446264,12,16,False
#,0.0,0.0,0.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.056313514709472656,0.75,1,51.8112,9894,9502,0.3,0.00040450493375736735,6,8,False
#,0.0,1.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.1615055828898458,0.8333333333333334,1,44.15128832,9933,9505,0.25,0.000344701801100612,10,12,False
0.0,1.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,1.0,0.012054376104299195,0.6428571428571429,1,37.47506739200001,9936,9506,0.25,0.0002925786249489269,9,14,False
1.0,1.0,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,#,#,#,0.0,0.0,0.004562132974169934,0.5833333333333334,1,48.28937472,9914,9507,0.25,0.000377009031296289,7,12,False
1.0,1.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,0.0,1.0,1.0,2,29.56,9965,9508,0.3,0.0004615668365862122,6,6,False
1.0,#,0.0,1.0,#,0.0,#,#,#,#,#,0.0,#,#,#,0.0,#,0.0,#,#,0.0,0.0009765625,0.5,1,24.5,9561,9508,0.35,0.00019127854357852165,1,2,False
1.0,0.0,0.0,#,#,#,#,0.0,#,#,#,#,#,1.0,#,#,1.0,#,#,#,1.0,0.1615055828898458,0.8333333333333334,1,29.72,9967,9509,0.3,0.00023203258429198626,5,6,False
1.0,#,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,1.0,1.0,1.0,1,37.8,9864,9511,0.25,0.0002951154672354334,5,5,False
1.0,0.0,0.0,1.0,#,#,1.0,#,#,#,#,#,#,1.0,#,#,#,#,#,0.0,1.0,1.0,1.0,1,51.0,9824,9512,0.35,0.00039817166214304504,1,1,False
1.0,0.0,1.0,1.0,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,0.017341529915832606,0.6666666666666666,2,49.28,9773,9513,0.3,0.0007694862553101671,4,6,False
1.0,1.0,1.0,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,0.5646302773531383,0.9444444444444444,1,49.0809918685184,9984,9517,0.25,0.0003831894139591618,17,18,False
1.0,#,1.0,1.0,#,#,0.0,#,#,#,#,#,#,#,#,1.0,#,#,#,#,1.0,0.10737418240000006,0.8,1,48.143872,9958,9517,0.25,0.00037587304973023543,8,10,False
1.0,1.0,0.0,1.0,#,#,#,#,#,1.0,#,#,#,#,#,#,#,0.0,#,#,0.0,1.0,1.0,1,25.0,9890,9519,0.3,0.00019518218732502207,3,3,False
0.0,#,#,#,1.0,#,1.0,#,#,#,1.0,1.0,#,#,1.0,#,#,#,1.0,1.0,1.0,1.0,1.0,1,50.5,9966,9525,0.4,0.0003942680183965446,2,2,False
0.0,0.0,0.0,#,#,#,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.023589950252244307,0.6875,2,43.520697274368004,9920,9526,0.25,0.0006795571910337019,11,16,False
0.0,1.0,0.0,0.0,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,1,49.896,9960,9530,0.3,0.00038955241675077206,8,8,False
0.0,1.0,0.0,0.0,0.0,#,0.0,#,0.0,#,#,#,#,#,0.0,#,#,0.0,0.0,#,0.0,1.0,1.0,1,63.0,9723,9530,0.5,0.0004918591120590557,1,1,False
0.0,1.0,1.0,#,0.0,#,#,#,0.0,#,0.0,0.0,#,#,#,#,#,#,#,#,0.0,1.0,1.0,2,61.666666666666664,9805,9532,0.35,0.0009628987908034423,3,3,False
#,0.0,#,#,#,0.0,#,#,#,#,#,#,#,0.0,1.0,#,#,1.0,#,#,0.0,0.00020904132382940202,0.42857142857142855,1,46.286963712,9986,9533,0.25,0.00036137563287768335,6,14,False
1.0,#,1.0,1.0,#,#,#,#,0.0,#,#,#,#,0.0,#,#,#,#,#,0.0,0.0,0.21405831560130767,0.8571428571428571,1,51.872,9900,9540,0.3,0.0004049796168369418,6,7,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,1.0,#,0.0,0.0,1.0,1.0,2,51.0,9861,9545,0.35,0.0007963433242860901,1,1,False
0.0,0.0,#,0.0,#,#,0.0,#,#,#,#,#,#,#,0.0,1.0,#,#,#,#,0.0,1.0,1.0,1,48.0,9765,9545,0.3,0.0003747497996640424,3,3,False
#,0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,1.0,1.0,3,51.26684930048,9999,9546,0.25,0.0012007650940475956,15,15,False
1.0,0.0,1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,0.0,1.0,#,#,#,1.0,0.0,1.0,1.0,1,43.5,9883,9547,0.4,0.00033961700594553845,2,2,False
1.0,0.0,1.0,0.0,0.0,#,#,#,#,#,#,#,#,1.0,0.0,#,#,#,#,#,0.0,1.0,1.0,2,40.333333333333336,9883,9547,0.35,0.0006297878577687379,3,3,False
#,1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.09973520189788244,0.7941176470588235,1,52.4876459985349,9960,9553,0.2,0.0004097861421414194,27,34,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,0.0,0.0,1.0,1.0,2,43.333333333333336,9989,9554,0.35,0.0006766315827267433,3,3,False
#,0.0,#,0.0,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,1.0,#,0.0,0.010890643668188604,0.6363636363636364,1,38.093260799999996,9943,9554,0.25,0.0002974050386114608,7,11,False
1.0,0.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.017341529915832606,0.6666666666666666,1,45.53746962219008,9985,9555,0.2,0.0003555241170442323,12,18,False
0.0,1.0,#,0.0,#,#,#,#,#,#,1.0,0.0,#,#,#,#,#,#,#,#,1.0,0.47659904336004005,0.9285714285714286,1,43.961438515199994,9935,9557,0.25,0.00034321958909404825,13,14,False
0.0,1.0,1.0,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,0.0,#,1.0,0.18814528037496547,0.8461538461538461,1,46.18305024,9926,9560,0.25,0.00036056435052738344,11,13,False
0.0,#,1.0,1.0,#,#,#,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,3,41.876725248,9980,9564,0.25,0.0009808308998296342,13,13,False
1.0,1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,0.0,#,0.0,1.0,1.0,1,53.333333333333336,9821,9566,0.35,0.00041638866629338045,3,3,False
0.0,#,0.0,0.0,1.0,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,0.012054376104299195,0.6428571428571429,1,45.575677849600005,9942,9569,0.25,0.0003558224196602195,9,14,False
0.0,0.0,0.0,0.0,1.0,#,#,#,1.0,#,1.0,#,#,#,#,#,0.0,#,#,#,1.0,1.0,1.0,1,61.0,9942,9569,0.4,0.0004762445370730539,3,3,False
0.0,#,0.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,0.1615055828898458,0.8333333333333334,1,54.46171392,9817,9572,0.3,0.0004251982579350081,10,12,False
1.0,0.0,0.0,#,#,#,#,#,#,#,1.0,#,0.0,#,#,#,#,#,#,#,0.0,0.2630755761638284,0.875,1,45.4128,9988,9575,0.25,0.0003545507854621505,7,8,False
#,0.0,#,1.0,#,1.0,#,#,#,#,1.0,#,#,1.0,#,#,#,1.0,#,#,1.0,0.21405831560130767,0.8571428571428571,1,46.408,9896,9581,0.3,0.000362320597975185,6,7,False
#,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,1.0,1.0,#,#,#,#,#,1.0,1.0,1.0,2,42.696,9987,9581,0.25,0.0006666798936023314,7,7,False
1.0,#,1.0,0.0,#,#,1.0,0.0,1.0,#,#,#,#,#,1.0,#,#,#,#,#,1.0,1.0,1.0,1,51.44,9971,9585,0.35,0.00040160686863996545,6,6,False
1.0,#,1.0,0.0,#,#,#,#,1.0,#,#,#,#,#,1.0,#,#,#,#,#,1.0,0.1253815679310719,0.8125,1,43.493924233216,9971,9585,0.25,0.0003395695706875153,13,16,False
#,1.0,0.0,1.0,#,#,#,#,#,#,#,1.0,#,1.0,#,#,0.0,#,#,0.0,0.0,0.10737418240000006,0.8,1,37.4,9947,9588,0.35,0.00029199255223823304,4,5,False
#,1.0,#,1.0,#,#,#,#,#,0.0,1.0,#,0.0,#,#,#,0.0,#,#,#,0.0,0.00020904132382940202,0.42857142857142855,1,41.96,9854,9588,0.3,0.00032759378320631707,3,7,False
0.0,1.0,1.0,1.0,#,#,#,#,#,1.0,#,1.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1,62.0,9911,9595,0.3,0.00048405182456605475,1,1,False
0.0,1.0,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,#,#,1.0,1.0,1.0,2,44.208000000000006,9926,9595,0.3,0.0006902891309811662,7,7,False
0.0,0.0,#,0.0,0.0,#,0.0,#,#,#,#,#,1.0,#,#,#,#,#,#,#,0.0,1.0,1.0,2,52.906982400000004,9989,9596,0.3,0.0008261200439678757,11,11,False
0.0,1.0,#,0.0,#,1.0,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,0.38554328942953164,0.9090909090909091,2,46.0524032,9992,9597,0.25,0.0007190887030519877,10,11,False
0.0,1.0,#,#,#,#,#,#,#,#,1.0,0.0,#,#,#,#,#,#,1.0,#,1.0,0.000376507118583527,0.45454545454545453,1,43.8544128,9932,9597,0.25,0.00034238400856633785,5,11,False
1.0,1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,0.0,0.0,1.0,1.0,1,56.992,9889,9598,0.3,0.0004449529288011063,7,7,False
1.0,1.0,0.0,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,0.0,0.02529248908960331,0.6923076923076923,1,37.477054464000005,9965,9601,0.25,0.0002925941385913002,9,13,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.00043861045619322613,0.46153846153846156,1,43.324513792,9986,9602,0.2,0.00033824693466862586,6,13,False
#,0.0,#,1.0,#,#,#,#,#,#,#,#,#,0.0,#,#,0.0,#,#,#,0.0,0.00025690974234748865,0.4375,2,36.607865655296,9920,9602,0.2,0.0005716162633520981,7,16,False
0.0,0.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,1.0,#,0.0,#,1.0,#,0.0,0.017341529915832606,0.6666666666666666,1,55.333333333333336,9838,9606,0.35,0.00043200324127938225,2,3,False
#,0.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.004230491648658657,0.5789473684210527,1,45.85286053081907,9953,9606,0.2,0.0003579864645405776,11,19,False
1.0,0.0,0.0,0.0,0.0,#,#,#,#,#,#,#,1.0,#,#,#,1.0,#,#,1.0,1.0,0.1,1.0,1,34.0,9607,9607,0.4,0.00026544777476203,0,0,False
0.0,1.0,1.0,0.0,1.0,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,1,24.666666666666668,9934,9611,0.35,0.00019257975816068846,3,3,False
1.0,#,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,0.06428888932339942,0.76,1,51.38442163487277,9997,9612,0.2,0.0004011729523650262,19,25,False
0.0,1.0,#,1.0,0.0,#,0.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,0.0020490232064151867,0.5384615384615384,1,35.689082367999994,9859,9614,0.3,0.0002786349264083647,7,13,False
1.0,#,#,0.0,#,#,#,#,#,#,#,#,1.0,#,1.0,#,#,#,#,#,1.0,0.1615055828898458,0.8333333333333334,1,37.597269314759764,9993,9619,0.2,0.00029353269049210977,20,24,False
#,#,#,0.0,#,#,#,#,#,#,0.0,#,#,0.0,#,0.0,#,#,#,#,1.0,0.00014011711490649216,0.4117647058823529,1,42.4307354779648,9968,9620,0.2,0.00033126895041594344,7,17,False
#,1.0,#,1.0,#,#,#,#,#,1.0,#,1.0,#,#,#,#,#,#,#,#,1.0,0.14347992566424797,0.8235294117647058,2,43.8466426150912,9998,9621,0.2,0.0006846466889977621,14,17,False
1.0,0.0,#,0.0,#,#,0.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,0.38554328942953164,0.9090909090909091,1,35.413184,9961,9622,0.25,0.000276480908530539,10,11,False
1.0,0.0,#,#,1.0,#,#,#,#,#,#,#,1.0,#,1.0,#,1.0,#,#,#,1.0,0.03457161303360778,0.7142857142857143,1,40.736000000000004,9891,9622,0.3,0.000318037663314884,5,7,False
1.0,#,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,#,1.0,1.0,1.0,1,38.3104,9993,9626,0.25,0.00029910030677186107,10,10,False
1.0,1.0,#,0.0,#,#,#,#,#,0.0,#,#,#,#,#,#,0.0,0.0,#,#,0.0,5.499366670846939e-05,0.375,1,46.624,9938,9629,0.3,0.0003640069720736732,3,8,False
0.0,1.0,#,0.0,#,#,#,#,1.0,#,1.0,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,2,43.414349824,9936,9630,0.25,0.0006778966207953605,13,13,False
#,1.0,1.0,0.0,#,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,#,0.0,0.003712098683732816,0.5714285714285714,1,36.905390080000004,9938,9631,0.25,0.0002881309903959029,8,14,False
1.0,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,0.20120590329555849,0.8518518518518519,1,57.83384729175429,9997,9632,0.2,0.00045152547263303626,23,27,False
0.0,#,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.012865824938866758,0.6470588235294118,2,49.2460794355712,9942,9637,0.2,0.000768956600113326,11,17,False
1.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,1.0,0.0,#,#,#,#,#,0.0,1.0,1.0,3,36.08,9883,9641,0.3,0.0008450607982424155,6,6,False
1.0,1.0,1.0,0.0,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,0.056313514709472656,0.75,1,50.0,9984,9644,0.3,0.00039036437465004415,3,4,False
0.0,#,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,0.0,#,1.0,0.003712098683732816,0.5714285714285714,1,45.649127526399994,9926,9649,0.25,0.00035639586240326503,8,14,False
1.0,1.0,1.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,0.0,0.0,0.07253815028640576,0.7692307692307693,1,45.422232064,9956,9650,0.25,0.0003546244242974509,10,13,False
1.0,#,1.0,#,#,#,0.0,#,1.0,#,#,#,#,0.0,#,0.0,#,#,0.0,0.0,0.0,1.0,1.0,1,48.5,9889,9650,0.4,0.00037865344341054283,2,2,False
1.0,0.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,1.0,0.1,1.0,1,30.5,9651,9651,0.3,0.00023812226853652695,0,0,False
0.0,0.0,1.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0,1.0,1.0,1,44.27168,9991,9658,0.3,0.00034564173355813735,9,9,False
0.0,0.0,0.0,#,0.0,0.0,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,1.0,1.0,1,53.0,9951,9659,0.3,0.00041378623712904684,3,3,False
#,0.0,0.0,1.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.12086380610771207,0.8095238095238095,1,42.42633744818504,9986,9659,0.2,0.0003312346137330501,17,21,False
0.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,0.006046617599999997,0.6,1,47.735168,9999,9661,0.25,0.000372682180102696,6,10,False
0.0,1.0,#,1.0,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,1.0,0.017341529915832606,0.6666666666666666,2,44.317124218880004,9998,9662,0.2,0.0006919930592796568,10,15,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0009765625,0.5,1,43.372223999999996,9928,9663,0.2,0.0003386194219788327,5,10,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,1.0,#,#,#,#,1.0,1.0,1.0,1,50.0,9919,9666,0.3,0.00039036437465004415,1,1,False
0.0,0.0,0.0,1.0,#,0.0,0.0,#,#,#,#,#,#,0.0,#,#,#,#,#,1.0,0.0,1.0,1.0,1,47.333333333333336,9920,9667,0.4,0.0003695449413353752,3,3,False
#,0.0,0.0,1.0,#,0.0,0.0,#,#,#,#,#,#,0.0,#,0.0,#,#,#,#,0.0,1.0,1.0,3,42.333333333333336,9952,9667,0.35,0.0009915255116111122,3,3,False
0.0,#,1.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,1.0,0.0,#,0.0,0.1615055828898458,0.8333333333333334,1,49.160000000000004,9933,9668,0.3,0.00038380625315592346,5,6,False
#,#,0.0,1.0,#,0.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,0.08101311022241207,0.7777777777777778,1,39.41905553031168,9965,9670,0.2,0.0003077558992277097,14,18,False
0.0,0.0,0.0,#,0.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,1.0,#,0.0,0.10737418240000006,0.8,1,46.8,9951,9671,0.3,0.00036538105467244134,4,5,False
1.0,0.0,0.0,0.0,#,#,1.0,#,1.0,#,#,#,1.0,#,#,#,#,#,#,#,1.0,1.0,1.0,1,17.0,9976,9673,0.35,0.000132723887381015,1,1,False
0.0,1.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,0.0,0.21405831560130767,0.8571428571428571,1,56.32,9908,9674,0.3,0.00043970643160580973,6,7,False
0.0,0.0,1.0,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,1.0,1,38.016,9974,9675,0.3,0.00029680184133392155,7,7,False
0.0,0.0,1.0,1.0,#,#,0.0,#,#,#,#,#,#,#,#,#,1.0,#,#,#,1.0,0.0028007538972582447,0.5555555555555556,1,37.40448,9842,9675,0.3,0.0002920275288862017,5,9,False
1.0,#,1.0,0.0,0.0,#,#,1.0,#,#,1.0,#,#,#,0.0,0.0,#,#,0.0,#,0.0,0.056947825020049615,0.9104477611940298,1,31.598136512512003,9676,9676,0.45,0.0002466957359962695,0,0,False
1.0,0.0,#,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.08101311022241207,0.7777777777777778,1,45.73504,9985,9679,0.2,0.0003570666057838951,7,9,False
#,0.0,1.0,1.0,#,#,#,0.0,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,0.21405831560130767,0.8571428571428571,1,41.896,9991,9679,0.25,0.000327094116806765,6,7,False
1.0,1.0,0.0,0.0,#,#,#,#,#,#,1.0,1.0,#,#,#,0.0,#,#,#,#,1.0,0.00010485760000000006,0.4,1,56.2,9977,9680,0.35,0.00043876955710664964,2,5,False
0.0,#,0.0,#,#,#,#,#,0.0,#,#,#,#,#,#,#,1.0,#,#,#,0.0,0.10737418240000006,0.8,1,33.7301046278488,9952,9686,0.2,0.0002633406239986152,16,20,False
0.0,0.0,0.0,#,1.0,#,#,1.0,#,#,#,#,#,#,#,#,0.0,#,#,#,1.0,1.0,1.0,2,42.8,9881,9691,0.3,0.0006683038094008756,5,5,False
0.0,0.0,0.0,0.0,#,#,#,#,#,#,1.0,1.0,#,#,#,#,#,#,#,#,1.0,0.003712098683732816,0.5714285714285714,1,53.72,9942,9691,0.3,0.00041940748412400743,4,7,False
1.0,1.0,#,0.0,#,#,#,#,#,#,#,1.0,#,#,#,#,1.0,#,#,#,1.0,0.07253815028640576,0.7692307692307693,1,34.054025216,9993,9692,0.25,0.0002658695651552135,10,13,False
#,1.0,1.0,0.0,#,#,1.0,#,#,#,#,1.0,#,#,#,#,#,#,1.0,1.0,1.0,0.006046617599999997,0.6,1,42.8,9936,9692,0.35,0.0003341519047004378,3,5,False
#,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,0.0,#,0.0,#,0.0,1.0,#,1.0,0.0009765625,0.5,1,33.0,9981,9694,0.35,0.00025764048726902917,1,2,False
0.0,1.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,1.0,1.0,1,40.0,9916,9695,0.3,0.00031229149972003534,4,4,False
#,1.0,0.0,1.0,#,#,#,#,#,0.0,#,1.0,#,1.0,#,#,#,#,#,#,0.0,0.08101311022241207,0.7777777777777778,1,36.533120000000004,9947,9695,0.3,0.0002852245708563005,7,9,False
1.0,1.0,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,0.0,#,#,1.0,1.0,0.1615055828898458,0.8333333333333334,1,51.64,9997,9698,0.3,0.0004031683261385656,5,6,False
#,1.0,1.0,1.0,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,0.017341529915832606,0.6666666666666666,1,42.68,9978,9698,0.3,0.0003332150302012777,4,6,False
0.0,1.0,1.0,#,#,#,#,#,#,#,0.0,0.0,#,#,#,#,#,#,0.0,#,0.0,1.0,1.0,1,38.0,9975,9699,0.3,0.00029667692473403355,3,3,False
#,1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,#,0.0,0.0,1.693508780843028e-05,0.3333333333333333,1,42.0,9828,9700,0.3,0.0003279060747060371,1,3,False
0.0,1.0,1.0,1.0,1.0,#,#,1.0,#,#,#,#,#,#,#,#,1.0,#,#,#,1.0,0.0009765625,0.5,1,45.0,9926,9701,0.35,0.00035132793718503977,1,2,False
0.0,1.0,1.0,0.0,1.0,#,#,1.0,0.0,#,0.0,#,#,#,#,#,1.0,#,#,#,0.0,0.1,1.0,1,22.0,9702,9702,0.45,0.00017176032484601944,0,0,False
0.0,#,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,0.0,1.0,#,#,1.0,0.0018620325962776674,0.5333333333333333,1,42.7744074752,9964,9706,0.25,0.00033395209650165247,8,15,False
#,1.0,#,1.0,#,#,#,1.0,#,#,#,1.0,#,#,1.0,#,#,1.0,#,#,1.0,0.10737418240000006,0.8,1,46.0,9926,9706,0.3,0.0003591352246780406,4,5,False
0.0,#,0.0,#,1.0,1.0,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,0.02824752489999998,0.7,1,40.739264,9964,9708,0.25,0.00031806314630126114,7,10,False
1.0,#,1.0,#,#,#,0.0,0.0,#,#,#,#,#,#,#,0.0,#,#,0.0,#,0.0,0.04139739548230255,0.7272727272727273,1,40.716236800000004,9990,9709,0.3,0.00031788336633070235,8,11,False
1.0,#,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,0.0,#,#,0.0,0.0,0.0,0.10737418240000006,0.8,1,34.6,9938,9709,0.35,0.00027013214725783057,4,5,False
#,0.0,1.0,0.0,#,#,0.0,#,#,#,#,1.0,#,#,#,#,1.0,#,#,#,0.0,0.0009765625,0.5,1,33.0,9883,9710,0.3,0.00025764048726902917,1,2,False
1.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,0.0,5.9048999999999975e-06,0.3,1,39.056896,9815,9711,0.25,0.00030492841565623626,3,10,False
0.0,1.0,#,#,#,#,#,#,1.0,#,0.0,#,#,#,0.0,#,#,#,1.0,0.0,1.0,0.0,0.0,1,42.0,9713,9713,0.35,0.0003279060747060371,0,1,False
0.0,1.0,#,#,#,#,#,#,1.0,#,0.0,#,#,#,0.0,#,#,#,#,0.0,1.0,0.0,0.0,1,40.0,9713,9713,0.3,0.00031229149972003534,0,2,False
#,#,0.0,0.0,0.0,#,0.0,#,0.0,#,#,#,#,#,0.0,#,#,#,#,1.0,0.0,0.0009765625,0.5,1,39.5,9789,9716,0.35,0.0003083878559735349,1,2,False
1.0,#,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,0.0,0.0,1.0,1.0,1,55.232,9900,9718,0.25,0.0004312121028134248,7,7,False
#,1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0,0.0,0.0,0.017341529915832606,0.6666666666666666,1,46.333333333333336,9956,9718,0.3,0.0003617376538423743,2,3,False
0.0,0.0,0.0,1.0,#,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,1,43.40736,9952,9720,0.3,0.0003388937388321868,9,9,False
0.0,0.0,#,0.0,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,0.41890388788459276,0.9166666666666666,2,47.80525056,9999,9721,0.25,0.0007464586695937229,11,12,False
0.0,0.0,1.0,#,#,#,1.0,#,#,#,#,0.0,#,#,#,#,#,#,#,1.0,1.0,0.10737418240000006,0.8,1,42.8,9973,9721,0.3,0.0003341519047004378,4,5,False
0.0,1.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0009765625,0.5,1,47.89888,9908,9723,0.25,0.00037396032675275013,5,10,False
1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,0.0,#,#,0.0,#,#,#,0.0,0.006046617599999997,0.6,1,47.4,9988,9727,0.25,0.00037006542716824185,3,5,False
0.0,1.0,#,1.0,#,#,#,1.0,#,#,#,#,#,#,1.0,#,#,1.0,#,1.0,1.0,0.0009765625,0.5,1,43.25,9926,9728,0.35,0.0003376651840722882,2,4,False
#,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,1.0,0.0,#,#,#,#,#,0.0,0.006046617599999997,0.6,2,40.637376,9943,9729,0.25,0.0006345353547863486,6,10,False
0.0,0.0,1.0,1.0,#,#,#,1.0,#,#,#,#,0.0,#,#,#,#,#,#,0.0,1.0,1.0,1.0,1,39.6,9974,9730,0.35,0.000309168584722835,5,5,False
0.0,0.0,1.0,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.09669935836937649,0.7916666666666666,1,46.17715993042819,9999,9732,0.2,0.0003605183631871335,19,24,False
1.0,0.0,#,1.0,1.0,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,0.0,0.1,1.0,1,47.9833732180116,9733,9733,0.3,0.0003746199895969755,0,0,False
1.0,1.0,0.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,0.0,0.00010485760000000006,0.4,1,43.8,9965,9734,0.25,0.00034195919219343865,2,5,False
